GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
79906        1    2241719    2358190      5       1  74046       2.3496    0.0093969
261734       1    5912870    6087618      1       1  74046       -1.922       0.9727
8514         1    6017358    6171253      1       1  74046       -1.922       0.9727
83715        1    6449836    6531004      1       1  74046        1.182       0.1186
8718         1    6510787    6562432      1       1  74046        1.182       0.1186
57449        1    6516152    6615121      1       1  74046        1.182       0.1186
55187        1   12255101   12582099      1       1  74046       3.3237    0.0004442
23254        1   14184646   15454544      2       1  74046       2.3738    0.0088027
114827       1   15538730   15734767      3       1  74046       4.1248   1.8552e-05
79180        1   15701391   15766839      5       1  74046       4.1389   1.7445e-05
11330        1   15729938   15783153      2       1  74046       4.0408   2.6638e-05
23400        1   17302453   17373467      1       1  74046       2.8349     0.002292
6390         1   17335217   17415665      1       1  74046       2.8349     0.002292
54361        1   22433798   22505474      2       1  74046       2.7566    0.0029202
7780         1   26354513   26408439      1       1  74046       2.4022    0.0081489
84676        1   26367792   26429142      1       1  74046       2.4022    0.0081489
27293        1   28226456   28295663      2       1  74046       2.4616    0.0069159
55113        1   28251504   28304604      2       1  74046       2.4616    0.0069159
2140         1   28286855   28450173      1       1  74046       2.3888     0.008452
4146         1   31174124   31231432      3       1  74046       2.8551    0.0021515
7805         1   31195315   31265683      4       2  74046       3.0555    0.0011235
114784       1   33969609   34666443      1       1  74046     -0.69349        0.756
54802        1   40296703   40384177     19       1  74046       3.3908    0.0003484
4610         1   40351096   40402687      5       1  74046       3.3338   0.00042836
9783         1   41076352   41166324      4       2  74046       3.5467   0.00019503
4802         1   41122242   41247275      1       1  74046      0.27359       0.3922
9132         1   41214684   41316124      1       1  74046      0.27359       0.3922
199974       1   47498160   47593992      1       1  74046       2.6508     0.004015
284541       1   47568107   47624528      2       1  74046       2.6122    0.0044984
2060         1   51809935   52020026     18       1  74046       1.9764     0.024053
199920       1   57174477   57320369      1       1  74046        1.281       0.1001
127795       1   60446066   60574442      1       1  74046       2.0556      0.01991
163782       1   62691837   62820083      4       1  74046         3.03    0.0012228
5142         1   66223193   66850262      3       1  74046       2.7815    0.0027053
79819        1   67268568   67425907      1       1  74046      0.97009        0.166
57708        1   67355578   67464302      3       1  74046       1.8122     0.034975
23169        1   67455015   67555080      5       1  74046       2.3079     0.010503
400757       1   67547859   67635654      4       1  74046       2.2389     0.012582
149233       1   67569590   67735662      1       1  74046       2.2112      0.01351
257194       1   71858625   72783533      5       2  74046       3.1523   0.00081005
256435       1   76505389   77110311      4       1  74046       3.6399   0.00013635
26009        1   78018160   78184119      1       1  74046       1.9961      0.02296
23032        1   78151672   78260564      1       1  74046       1.9961      0.02296
8915         1   85721459   85777604      1       1  74046       3.4618    0.0002683
255631       1   86184916   86657121      6       2  74046       3.3529   0.00039988
115362       1   89714633   89773544      2       1  74046       3.0455    0.0011615
163351       1   89794436   89863719      1       1  74046        3.493    0.0002388
55144        1   90251573   90411991      2       1  74046       1.6033     0.054429
10451        1  108103782  108542545      5       2  74046       3.3635   0.00038484
23155        1  109462130  109541121      2       1  74046       3.4755   0.00025492
22911        1  109502835  109619860      2       1  74046       3.4755   0.00025492
10352        1  119563839  119718404      1       1  74046       2.4381    0.0073819
83998        1  120326641  120389203      1       1  74046       2.9374     0.001655
343505       1  120367388  120422503      1       1  74046       2.9374     0.001655
11085        1  120426156  120474147      2       1  74046        2.946    0.0016097
9900         1  149864870  149924434      1       1  74046       3.3038     0.000477
10262        1  149885209  149936449      1       1  74046       3.3038     0.000477
10903        1  149890543  149943791      1       1  74046       3.3038     0.000477
56957        1  149902229  150017686      2       1  74046       3.3667   0.00038031
51686        1  151700445  151753806      1       1  74046       2.6395     0.004152
65005        1  151722119  151771040      1       1  74046       2.6395     0.004152
11022        1  151732741  151798052      1       1  74046       2.6395     0.004152
6701         1  153032717  153079084      2       1  74046       3.2174    0.0006468
6704         1  153055611  153102001      2       1  74046       3.2174    0.0006468
6705         1  153074612  153120989      1       1  74046       4.1694    1.527e-05
6706         1  153112058  153158427      6       1  74046       4.5867   2.2512e-06
149018       1  153140906  153187601      3       1  74046       4.0928   2.1307e-05
128360       1  158358312  158404256      2       1  74046       3.4863   0.00024485
391107       1  158379718  158425656      2       1  74046       3.4863   0.00024485
6675         1  162496296  162580379      5       1  74046       3.1508   0.00081425
4921         1  162567228  162766409      4       1  74046       3.3845   0.00035655
5999         1  163003396  163056592      3       1  74046       2.7995    0.0025588
8490         1  163102089  163326581     14       3  74046        3.579   0.00017248
4009         1  165161104  165360952      7       1  74046       2.7192    0.0032719
440699       1  165478478  165543185     14       1  74046       2.7919    0.0026202
89866        1  177882825  177974188      2       1  74046       1.9508     0.025542
6041         1  182532769  182593420      1       1  74046       2.6453     0.004081
6004         1  182557758  182608548      1       1  74046       2.6453     0.004081
